age,income,credit_score,employment_type,loan_amount,loan_tenure,emi_to_income_ratio,past_default_history,default_status
56,187393.7546,734,Salaried,37267.1162,24,0.099428954,0,0
69,551294.0889,605,Self-Employed,80693.55851,36,0.048789327,1,0
46,113741.3477,751,Unemployed,43901.04874,48,0.096482982,1,1
32,106104.9115,699,Self-Employed,20012.59303,36,0.062863348,0,0
60,152475.8544,546,Self-Employed,16836.24555,36,0.036803468,0,0
25,85712.71982,721,Salaried,31721.32017,12,0.370037024,0,0
38,474730.9843,712,Salaried,33123.23473,36,0.023256959,0,0
56,570873.6459,664,Salaried,64341.51338,36,0.037568244,0,0
36,283386.9903,777,Salaried,6747.259878,24,0.011904171,0,0
40,312240.2058,784,Salaried,20411.5026,24,0.032684321,1,0
28,145335.2252,704,Salaried,146753.3948,24,0.504837277,0,0
28,260662.8045,736,Contract,112050.1375,12,0.429846443,0,0
41,389971.3311,588,Salaried,42136.39832,24,0.054023332,0,0
53,129951.7092,741,Salaried,17938.54174,12,0.138027314,0,0
57,443718.4076,757,Salaried,44143.98563,24,0.049741898,0,0
41,160066.1341,657,Self-Employed,36407.63253,24,0.113718319,1,0
20,151936.7264,511,Self-Employed,168052.8749,60,0.221196819,0,1
39,88071.50238,765,Salaried,5418.392884,24,0.030757138,0,0
19,189946.4163,744,Contract,22716.16371,36,0.039861643,0,0
41,356483.842,572,Self-Employed,89566.15225,12,0.251240384,0,0
61,33460.15688,640,Contract,19385.48109,24,0.289576216,0,0
47,206949.8959,845,Salaried,44360.72034,12,0.214342452,0,0
55,270524.0006,586,Salaried,126377.2265,60,0.09342729,0,0
19,176916.7332,557,Salaried,21705.46526,36,0.040893047,0,0
38,41057.25369,616,Salaried,17927.17557,36,0.145503623,0,0
50,62862.59586,730,Self-Employed,20433.92768,24,0.162497487,0,0
29,153894.2687,448,Contract,108454.9131,48,0.176170396,0,1
39,50451.1511,667,Contract,50321.41168,24,0.498595615,0,1
61,1066243.56,587,Self-Employed,71709.51501,48,0.016813398,1,0
42,403696.6317,708,Self-Employed,34235.93373,48,0.021200893,0,0
66,78775.15921,631,Self-Employed,8575.291957,24,0.054420619,0,0
44,299934.8518,775,Salaried,18080.5473,48,0.015069793,0,0
59,260153.4701,728,Salaried,12324.32687,60,0.009474222,0,0
45,126274.7805,638,Salaried,51815.00891,12,0.41029638,0,0
33,323851.4356,727,Self-Employed,5015.067608,12,0.015485131,0,0
32,37777.60353,577,Salaried,36984.0577,36,0.3262278,0,1
64,128120.1876,999,Self-Employed,14318.82287,48,0.027937599,0,0
68,112890.4818,740,Self-Employed,13237.85797,36,0.039083457,1,0
61,572765.1693,629,Self-Employed,71081.12579,60,0.024819818,0,0
69,83094.54353,739,Self-Employed,44726.08368,60,0.107635529,0,0
20,262955.479,502,Contract,38783.66984,12,0.147484662,0,0
54,100584.4823,494,Contract,43347.12874,36,0.14363368,0,0
68,342465.0427,632,Salaried,168415.8672,24,0.245879061,0,0
24,120315.9272,596,Salaried,105801.1191,12,0.879273179,0,1
38,69557.67368,631,Salaried,44735.96461,24,0.321519149,1,0
26,,684,Self-Employed,60067.0262,48,0.094213567,0,0
56,293811.0706,750,Self-Employed,63545.8236,24,0.108136205,0,0
35,234671.1568,577,Salaried,87621.12691,60,0.07467185,0,0
21,57240.41927,728,Self-Employed,51176.57239,12,0.893876155,0,1
42,53172.92671,555,Salaried,24928.47655,48,0.117178297,0,0
31,103737.3909,454,Self-Employed,25612.85614,48,0.061718088,1,0
